locality,value
Armadale,400
Carlton North,530
Docklands,500
East Melbourne,470
East St Kilda,365
Elwood,400
Fitzroy,500
Port Melbourne,550
South Melbourne,499
South Yarra,420
Southbank,525
St Kilda,380
Toorak,450
Balwyn,497
Blackburn,390
Box Hill,380
Clayton,360
East Hawthorn,400
Hawthorn,370
Kew,478
Mount Waverley,450
Bentleigh,430
Brighton,640
Brighton East,600
Carnegie,365
Caulfield,400
Cheltenham,401
Elsternwick,400
Malvern,450
Malvern East,390
Altona,360
Footscray,330
Melton,285
Sunshine,310
Sydenham,360
West Footscray,335
Williamstown,450
Brunswick,410
Craigieburn,330
East Brunswick,400
Essendon,355
Keilor,388
Sunbury,330
West Brunswick,330
Northcote,450
Preston,370
Reservoir,330
Thornbury,350
Whittlesea,340
Bayswater,350
Boronia,350
Ferntree Gully,350
Ringwood,360
Rowville,410
Yarra Ranges,350
Berwick,370
Cranbourne,350
Dandenong,310
Noble Park,310
Pakenham,320
Springvale,345
Frankston,320
Corio,250
Lara,330
Newtown,320
North Geelong,310
Ballarat,265
Bendigo,278
North Bendigo,279
Bairnsdale,275
Benalla,230
Castlemaine,300
Echuca,280
Hamilton,230
Horsham,250
Mildura,260
Morwell,195
Portland,230
Seymour,245
Shepparton,260
Swan Hill,230
Torquay,430
Traralgon,265
Wanagaratta,250
Warragul,280
Warrnambool,290
Wodonga,290
Albert Park,495
Middle Park,495
West St Kilda,495
Carlton,380
Parkville,380
CBD,440
St Kilda Rd,440
Collingwood,440
Abbotsford,440
Fitzroy North,500
Clifton Hill,500
Flemington,390
Kensington,390
North Melbourne,400
West Melbourne,400
Prahran,400
Windsor,400
Richmond,470
Burnley,470
Bulleen,440
Templestowe,440
Doncaster,440
Burwood,410
Ashburton,410
Camberwell,430
Glen Iris,430
Canterbury,450
Surrey Hills,450
Mont Albert,450
Chadstone,400
Oakleigh,400
Doncaster East,450
Donvale,450
Glen Waverley,440
Mulgrave,440
Nunawading,375
Mitcham,375
Vermont,410
Forest Hill,410
Burwood East,410
Aspendale,380
Chelsea,380
Carrum,380
Hampton,495
Beaumaris,495
Mentone,370
Parkdale,370
Mordialloc,370
Murrumbeena,380
Hughesdale,380
Keilor East,375
Avondale Heights,375
Newport,440
Spotswood,440
St Albans,310
Deer Park,310
Werribee,310
Hoppers Crossing,310
Yarraville,410
Seddon,410
Broadmeadows,329
Roxburgh Park,329
Coburg,395
Pascoe Vale South,395
Gladstone Park,335
Tullamarine,335
Moonee Ponds,390
Ascot Vale,390
Oak Park,345
Glenroy,345
Fawkner,345
Pascoe Vale,360
Coburg North,360
Bundoora,355
Greensborough,355
Hurstbridge,355
Eltham,400
Research,400
Montmorency,400
Fairfield,340
Alphington,340
Heidelberg,360
Heidelberg West,360
Ivanhoe,415
Ivanhoe East,415
Mill Park,340
Epping,340
Thomastown,320
Lalor,320
Croydon,362
Lilydale,362
Wantirna,395
Scoresby,395
Dandenong North,320
Endeavour Hills,320
Narre Warren,345
Hampton Park,345
Dromana,325
Portsea,325
Hastings,320
Flinders,320
Mt Eliza,410
Mornington,410
Mt Martha,410
Seaford,330
Carrum Downs,330
Belmont,330
Grovedale,330
Geelong,300
Newcombe,300
Herne Hill,290
Geelong West,290
Mount Clear,300
Buninyong,300
Sebastopol,255
Delacombe,255
Wendouree,282
Alfredton,282
Flora Hill,270
Bendigo East,270
Golden Square,280
Kangaroo Flat,280
Moe,200
Newborough,200
Ocean Grove,350
Barwon Heads,350
Sale,280
Maffra,280
